"pclass","survived","name","sex","age","sibsp","parch","ticket","fare","cabin","embarked","boat","body","home.dest"
3,"1","Leeni, Mr. Fahim (""Philip Zenni"")","male",22.0,0,0,2620,7.225,,"C","6",,
3,"0","Lefebre, Miss. Ida","female",,3,1,4133,25.4667,,"S",,,
3,"0","Lennon, Mr. Denis","male",,1,0,370371,15.5,,"Q",,,
3,"0","Lester, Mr. James","male",39.0,0,0,,24.15,,"S",,,
3,"0","Lindblom, Miss. Augusta Charlotta","female",45.0,0,0,347073,7.75,,"S",,,
3,"1","Lindqvist, Mr. Eino William","male",20.0,1,0,,7.925,,"S","15",,
3,"0","Lithman, Mr. Simon","male",,0,0,,7.55,,"S",,,
3,"0","Lobb, Mr. William Arthur","male",30.0,1,0,,16.1,,"S",,,
3,"0","Lockyer, Mr. Edward","male",,0,0,1222,7.8792,,"S",,153,
3,"0","Lovell, Mr. John Hall (""Henry"")","male",20.5,0,0,,7.25,,"S",,,
3,"1","Lulic, Mr. Nikola","male",27.0,0,0,315098,8.6625,,"S","15",,
3,"1","Lundin, Miss. Olga Elida","female",23.0,0,0,347469,7.8542,,"S","10",,
3,"0","Maisner, Mr. Simon","male",,0,0,,8.05,,"S",,,
3,"0","Makinen, Mr. Kalle Edvard","male",29.0,0,0,,7.925,,"S",,,
3,"1","Mannion, Miss. Margareth","female",,0,0,36866,7.7375,,"Q","16",,
3,"0","Markun, Mr. Johann","male",33.0,0,0,349257,7.8958,,"S",,,
3,"1","McDermott, Miss. Brigdet Delia","female",,0,0,330932,7.7875,,"Q","13",,
3,"0","McNeill, Miss. Bridget","female",,0,0,370368,7.75,,"Q",,,
3,"0","Meek, Mrs. Thomas (Annie Louise Rowley)","female",,0,0,343095,8.05,,"S",,,
3,"0","Meo, Mr. Alfonzo","male",55.5,0,0,,8.05,,"S",,201,
3,"1","Moor, Master. Meier","male",6.0,0,1,392096,12.475,"E121","S","14",,
3,"0","Morley, Mr. William","male",34.0,0,0,364506,8.05,,"S",,,
3,"0","Morrow, Mr. Thomas Rowan","male",,0,0,372622,7.75,,"Q",,,
3,"1","Moubarek, Master. Halim Gonios (""William George"")","male",,1,1,2661,15.2458,,"C",,,
3,"1","Moussa, Mrs. (Mantoura Boulos)","female",,0,0,2626,7.2292,,"C",,,
3,"1","Murphy, Miss. Katherine ""Kate""","female",,1,0,367230,15.5,,"Q","16",,
3,"1","Najib, Miss. Adele Kiamie ""Jane""","female",15.0,0,0,2667,7.225,,"C",,,
3,"1","Nakid, Mrs. Said (Waika ""Mary"" Mowad)","female",19.0,1,1,2653,15.7417,,"C",,,
3,"0","Nancarrow, Mr. William Henry","male",33.0,0,0,,8.05,,"S",,,
3,"0","Niklasson, Mr. Samuel","male",28.0,0,0,363611,8.05,,"S",,,
3,"1","Niskanen, Mr. Juha","male",39.0,0,0,,7.925,,"S","9",,
3,"0","O'Brien, Mr. Thomas","male",,1,0,370365,15.5,,"Q",,,
3,"1","O'Leary, Miss. Hanora ""Norah""","female",,0,0,330919,7.8292,,"Q","13",,
3,"0","Oreskovic, Miss. Jelka","female",23.0,0,0,315085,8.6625,,"S",,,
3,"0","Oreskovic, Miss. Marija","female",20.0,0,0,315096,8.6625,,"S",,,
3,"0","Osen, Mr. Olaf Elon","male",16.0,0,0,7534,9.2167,,"S",,,
3,"0","O'Sullivan, Miss. Bridget Mary","female",,0,0,330909,7.6292,,"Q",,,
3,"0","Palsson, Miss. Stina Viola","female",3.0,3,1,349909,21.075,,"S",,,
3,"0","Palsson, Miss. Torborg Danira","female",8.0,3,1,349909,21.075,,"S",,,
3,"0","Palsson, Mrs. Nils (Alma Cornelia Berglund)","female",29.0,0,4,349909,21.075,,"S",,206,
3,"0","Panula, Mr. Ernesti Arvid","male",16.0,4,1,3101295,39.6875,,"S",,,
3,"0","Panula, Mrs. Juha (Maria Emilia Ojala)","female",41.0,0,5,3101295,39.6875,,"S",,,
3,"0","Peacock, Miss. Treasteall","female",3.0,1,1,,13.775,,"S",,,
3,"0","Pearce, Mr. Ernest","male",,0,0,343271,7.0,,"S",,,
3,"1","Peter, Mrs. Catherine (Catherine Rizk)","female",,0,2,2668,22.3583,,"C",,,
3,"0","Peters, Miss. Katie","female",,0,0,330935,8.1375,,"Q",,,
3,"0","Pettersson, Miss. Ellen Natalia","female",18.0,0,0,347087,7.775,,"S",,,
3,"0","Pokrnic, Mr. Mate","male",17.0,0,0,315095,8.6625,,"S",,,
3,"0","Pokrnic, Mr. Tome","male",24.0,0,0,315092,8.6625,,"S",,,
3,"0","Rice, Master. Eric","male",7.0,4,1,382652,29.125,,"Q",,,
3,"0","Rommetvedt, Mr. Knud Paust","male",,0,0,312993,7.775,,"S",,,
3,"0","Rouse, Mr. Richard Henry","male",50.0,0,0,,8.05,,"S",,,
3,"1","Ryan, Mr. Edward","male",,0,0,383162,7.75,,"Q","14",,
3,"0","Saad, Mr. Amin","male",,0,0,2671,7.2292,,"C",,,
3,"0","Saade, Mr. Jean Nassr","male",,0,0,2676,7.225,,"C",,,
3,"0","Saether, Mr. Simon Sivertsen","male",38.5,0,0,,7.25,,"S",,32,
3,"0","Sage, Miss. Stella Anna","female",,8,2,,69.55,,"S",,,
3,"0","Sage, Mrs. John (Annie Bullen)","female",,1,9,,69.55,,"S",,,
3,"0","Salander, Mr. Karl Johan","male",24.0,0,0,7266,9.325,,"S",,,
3,"0","Salonen, Mr. Johan Werner","male",39.0,0,0,3101296,7.925,,"S",,,
3,"0","Samaan, Mr. Youssef","male",,2,0,2662,21.6792,,"C",,,
3,"1","Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)","female",24.0,0,2,,16.7,"G6","S","13",,
3,"1","Sap, Mr. Julius","male",25.0,0,0,345768,9.5,,"S","11",,
3,"0","Scanlan, Mr. James","male",,0,0,36209,7.725,,"Q",,,
3,"0","Skoog, Master. Karl Thorsten","male",10.0,3,2,347088,27.9,,"S",,,
3,"0","Skoog, Mrs. William (Anna Bernhardina Karlsson)","female",45.0,1,4,347088,27.9,,"S",,,
3,"0","Slabenoff, Mr. Petco","male",,0,0,349214,7.8958,,"S",,,
3,"0","Slocovski, Mr. Selman Francis","male",,0,0,,8.05,,"S",,,
3,"0","Smiljanic, Mr. Mile","male",,0,0,315037,8.6625,,"S",,,
3,"0","Somerton, Mr. Francis William","male",30.0,0,0,,8.05,,"S",,,
3,"0","Spector, Mr. Woolf","male",,0,0,,8.05,,"S",,,
3,"0","Storey, Mr. Thomas","male",60.5,0,0,3701,,,"S",,261,
3,"0","Strom, Miss. Telma Matilda","female",2.0,0,1,347054,10.4625,"G6","S",,,
3,"0","Sutehall, Mr. Henry Jr","male",25.0,0,0,,7.05,,"S",,,
3,"1","Thomas, Master. Assad Alexander","male",0.42,0,1,2625,8.5167,,"C","16",,
3,"0","Thomas, Mr. John","male",,0,0,2681,6.4375,,"C",,,
3,"0","Tobin, Mr. Roger","male",,0,0,383121,7.75,"F38","Q",,,
3,"0","Todoroff, Mr. Lalio","male",,0,0,349216,7.8958,,"S",,,
3,"0","Toufik, Mr. Nakli","male",,0,0,2641,7.2292,,"C",,,
3,"1","Touma, Mrs. Darwis (Hanne Youssef Razi)","female",29.0,0,2,2650,15.2458,,"C",,,
3,"0","Turcin, Mr. Stjepan","male",36.0,0,0,349247,7.8958,,"S",,,
3,"0","Van Impe, Miss. Catharina","female",10.0,0,2,345773,24.15,,"S",,,
3,"0","Van Impe, Mr. Jean Baptiste","male",36.0,1,1,345773,24.15,,"S",,,
3,"0","Vande Velde, Mr. Johannes Joseph","male",33.0,0,0,345780,9.5,,"S",,,
3,"0","Vande Walle, Mr. Nestor Cyriel","male",28.0,0,0,345770,9.5,,"S",,,
3,"0","Waelens, Mr. Achille","male",22.0,0,0,345767,9.0,,"S",,,"Antwerp, Belgium / Stanton, OH"
3,"0","Willer, Mr. Aaron (""Abi Weller"")","male",,0,0,3410,8.7125,,"S",,,
3,"0","Willey, Mr. Edward","male",,0,0,,7.55,,"S",,,
3,"0","Wiseman, Mr. Phillippe","male",,0,0,,7.25,,"S",,,
3,"0","Yasbeck, Mr. Antoni","male",27.0,1,0,2659,14.4542,,"C",,,
3,"0","Yousseff, Mr. Gerious","male",,0,0,2627,14.4583,,"C",,,
